name,ra,dec,priority,type
Hu10_z6_5,189.399719,62.239494,1,TARGET
Hu10_z6_11,189.365982,62.196171,1,TARGET
Hu10_z6_12,189.320312,62.233444,1,TARGET
Hu10_z6_9,189.342285,62.262852,1,TARGET
Hu10_z6_7,189.032761,62.14397,1,TARGET
Hu10_z6_6,189.324554,62.299732,1,TARGET
Hu10_z6_4,189.253998,62.353954,1,TARGET
Stark11_35_22248,189.253998,62.353954,1,TARGET
Hu10_z6_3,189.055939,62.12999,1,TARGET
Stark11_43_3982,189.039261,62.247654,1,TARGET
Jung18_z6_GND_5752,189.199585,62.320965,1,TARGET
Stark11_42_13066,189.156387,62.197666,1,TARGET
Stark11_33_17705,189.208191,62.23214,1,TARGET
Stark11_32_16773,189.1978,62.199982,1,TARGET
Stark11_34_24923,189.284531,62.287498,1,TARGET
Stark11_33_19990,189.231018,62.252335,1,TARGET
Jung18_z6_GND_28438,189.177979,62.223713,1,TARGET
Hu10_z7_1,189.358261,62.207642,1,TARGET
Stark11_35_22381,189.255386,62.35775,1,TARGET
Stark11_24_28120,189.321457,62.2901,1,TARGET
Stark11_24_26902,189.307617,62.323444,1,TARGET
Stark11_41_13100,189.156693,62.11544,1,TARGET
Stark11_42_6706,189.079712,62.141884,1,TARGET
Jung18_z7_GND_10402,189.179276,62.275894,1,TARGET
Hu10_z7_2,189.356888,62.295319,1,TARGET
3DHST_16990,189.227005,62.22645569,2,TARGET
3DHST_17033,189.22576904,62.22662735,2,TARGET
3DHST_18608,189.20870972,62.23365021,2,TARGET
3DHST_19140,189.18365479,62.23613739,2,TARGET
3DHST_21290,189.26806641,62.24618149,2,TARGET
z6_GNW_30051,189.455215,62.260632,3,TARGET
z5_GNW_10084,189.057281,62.166943,3,TARGET
z5_GNW_15423,188.979294,62.201313,3,TARGET
z6_GND_16819,189.328232,62.256317,3,TARGET
z5_GND_14430,189.342285,62.262852,3,TARGET
z5_GND_30190,189.248978,62.218365,3,TARGET
z5_GND_42418,189.16655,62.305592,3,TARGET
z5_GND_15562,189.106384,62.259712,3,TARGET
z5_GND_44499,189.105927,62.286846,3,TARGET
z6_GNW_27915,189.474213,62.2757,3,TARGET
z6_GNW_25538,189.481949,62.288136,3,TARGET
z6_GNW_25971,189.334732,62.286125,3,TARGET
z6_GNW_23437,189.388,62.301167,3,TARGET
z5_GNW_22336,189.341263,62.309196,3,TARGET
z6_GNW_22717,189.416199,62.333141,3,TARGET
z6_GNW_23350,189.414474,62.333523,3,TARGET
z6_GNW_20152,189.307617,62.323444,3,TARGET
z6_GNW_32543,189.318924,62.356548,3,TARGET
z6_GNW_4311,189.178604,62.132816,3,TARGET
z6_GNW_6440,189.162872,62.145832,3,TARGET
z6_GNW_8472,189.172394,62.157078,3,TARGET
z6_GNW_22555,189.301788,62.307808,3,TARGET
z6_GNW_1169,189.135452,62.108707,3,TARGET
z6_GNW_2045,189.156693,62.11544,3,TARGET
z6_GNW_2993,189.127197,62.122612,3,TARGET
z6_GNW_6554,189.137207,62.146313,3,TARGET
z6_GNW_7317,189.069244,62.150181,3,TARGET
z5_GNW_12024,189.14296,62.17979,3,TARGET
z6_GNW_10421,189.089981,62.169113,3,TARGET
z6_GNW_10970,189.075775,62.172729,3,TARGET
z5_GNW_11324,189.068375,62.174931,3,TARGET
